threshold,precision,recall,f1,f2,model
0.55,0.8540372670807453,0.7513661202185792,0.7994186046511628,0.7698768197088466,regressao_logistica
0.56,0.8666666666666667,0.7459016393442623,0.801762114537445,0.7672849915682968,regressao_logistica
0.57,0.8690095846645367,0.7431693989071039,0.801178203240059,0.7653348339898706,regressao_logistica
0.58,0.8688524590163934,0.7240437158469946,0.789865871833085,0.7490107405313736,regressao_logistica
0.59,0.8758389261744967,0.7131147540983607,0.786144578313253,0.7406356413166856,regressao_logistica
0.6,0.8797250859106529,0.6994535519125683,0.7792998477929984,0.7293447293447294,regressao_logistica
0.61,0.8784722222222222,0.6912568306010929,0.7737003058103975,0.7220319634703196,regressao_logistica
0.62,0.8785714285714286,0.6721311475409836,0.7616099071207431,0.7052752293577982,regressao_logistica
0.63,0.8832116788321168,0.6612021857923497,0.75625,0.6962025316455697,regressao_logistica
0.64,0.8838951310861424,0.644808743169399,0.7456556082148499,0.681686886192952,regressao_logistica
0.65,0.8923076923076924,0.6338797814207651,0.7412140575079872,0.6728538283062645,regressao_logistica
0.66,0.8932806324110671,0.6174863387978142,0.7302100161550888,0.6581246359930111,regressao_logistica
0.67,0.8951612903225806,0.6065573770491803,0.7231270358306189,0.6483644859813084,regressao_logistica
0.68,0.8966942148760331,0.592896174863388,0.7138157894736842,0.6359906213364596,regressao_logistica
0.6900000000000001,0.902127659574468,0.5792349726775956,0.7054908485856906,0.6238964096527368,regressao_logistica
0.7000000000000001,0.9035087719298246,0.5628415300546448,0.6936026936026936,0.6087470449172577,regressao_logistica
0.7100000000000001,0.9054054054054054,0.5491803278688525,0.6836734693877551,0.5960854092526691,regressao_logistica
0.7200000000000001,0.9032258064516129,0.5355191256830601,0.6723842195540308,0.5829863176680548,regressao_logistica
0.73,0.9004739336492891,0.5191256830601093,0.658578856152513,0.5671641791044776,regressao_logistica
0.74,0.900990099009901,0.4972677595628415,0.6408450704225352,0.5462184873949579,regressao_logistica
0.75,0.9030612244897959,0.48360655737704916,0.6298932384341637,0.5331325301204819,regressao_logistica
0.76,0.9037433155080213,0.46174863387978143,0.6112115732368897,0.5118110236220472,regressao_logistica
0.77,0.9162011173184358,0.44808743169398907,0.6018348623853211,0.4990870359099209,regressao_logistica
0.78,0.9239766081871345,0.43169398907103823,0.5884543761638734,0.4831804281345566,regressao_logistica
0.79,0.9263803680981595,0.412568306010929,0.5708884688090737,0.46404425322679776,regressao_logistica
0.8,0.9240506329113924,0.3989071038251366,0.5572519083969466,0.45006165228113443,regressao_logistica
0.81,0.9375,0.36885245901639346,0.5294117647058824,0.4197761194029851,regressao_logistica
0.8200000000000001,0.9485294117647058,0.3524590163934426,0.5139442231075697,0.403125,regressao_logistica
0.8300000000000001,0.952755905511811,0.33060109289617484,0.4908722109533469,0.3802639849151477,regressao_logistica
0.8400000000000001,0.9487179487179487,0.30327868852459017,0.45962732919254656,0.3510436432637571,regressao_logistica
0.85,0.9464285714285714,0.2896174863387978,0.4435146443514644,0.3362944162436548,regressao_logistica
0.15,0.6339754816112084,0.9890710382513661,0.7726787620064034,0.8894348894348895,random_forest
0.16,0.6362038664323374,0.9890710382513661,0.774331550802139,0.8903098868666994,random_forest
0.16999999999999998,0.6373239436619719,0.9890710382513661,0.7751605995717344,0.890748031496063,random_forest
0.18,0.6423487544483986,0.9863387978142076,0.7780172413793104,0.8909180651530109,random_forest
0.19,0.6457960644007156,0.9863387978142076,0.7805405405405406,0.8922392486406328,random_forest
0.2,0.6492805755395683,0.9863387978142076,0.7830802603036876,0.8935643564356436,random_forest
0.21,0.6527272727272727,0.9808743169398907,0.7838427947598253,0.891261171797418,random_forest
0.22,0.6551094890510949,0.9808743169398907,0.7855579868708972,0.8921471172962226,random_forest
0.22999999999999998,0.6580882352941176,0.9781420765027322,0.7868131868131868,0.8914342629482072,random_forest
0.24,0.6580882352941176,0.9781420765027322,0.7868131868131868,0.8914342629482072,random_forest
0.25,0.6666666666666666,0.9726775956284153,0.7911111111111111,0.8908908908908909,random_forest
0.26,0.6672932330827067,0.9699453551912568,0.7906458797327395,0.8892785571142284,random_forest
0.27,0.6698113207547169,0.9699453551912568,0.7924107142857143,0.8901705115346038,random_forest
0.28,0.6749049429657795,0.9699453551912568,0.7959641255605381,0.8919597989949749,random_forest
0.29000000000000004,0.6794625719769674,0.9672131147540983,0.798196166854566,0.8916876574307305,random_forest
0.3,0.6795366795366795,0.9617486338797814,0.7963800904977375,0.887991927346115,random_forest
0.31,0.682261208576998,0.9562841530054644,0.7963594994311718,0.885179564997471,random_forest
0.32,0.6817288801571709,0.9480874316939891,0.7931428571428571,0.8793715154586923,random_forest
0.32999999999999996,0.6878727634194831,0.9453551912568307,0.7963176064441887,0.8795119471276055,random_forest
0.33999999999999997,0.6941649899396378,0.9426229508196722,0.7995365005793743,0.8796532381438041,random_forest
0.35,0.694949494949495,0.9398907103825137,0.7990708478513356,0.8779989790709546,random_forest
0.36,0.6993865030674846,0.9344262295081968,0.8,0.8755760368663594,random_forest
0.37,0.7012448132780082,0.9234972677595629,0.7971698113207547,0.868448098663926,random_forest
0.38,0.7067510548523207,0.9153005464480874,0.7976190476190477,0.8642930856553147,random_forest
